GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000031762.7	2582.42233133	1.15639221346905	0.159597669675637	7.24567104155895	4.30303359055377e-13	1.79978682958502e-11	chr8	94172663	94173568	+	NA	Mt2
ENSMUSG00000024691.13	62.5896059271405	1.82829049343792	0.252410720712576	7.24331553064193	4.37846644578796e-13	1.82768201159209e-11	chr19	12545739	12589768	+	NA	Fam111a
ENSMUSG00000032766.9	124.042786884779	1.43959880667702	0.198843891968837	7.23984424375799	4.49200318033589e-13	1.87133989064471e-11	chr6	4003903	4008445	+	NA	Gng11
ENSMUSG00000020573.17	20.5434656956187	1.9438828598098	0.268668590847975	7.235244185688	4.64692273129214e-13	1.93202972325075e-11	chr12	32173472	32208659	-	NA	Pik3cg
ENSMUSG00000000753.15	29.1005400448225	2.38261760198916	0.329404987219609	7.2330951091542	4.72108516380746e-13	1.95896932600606e-11	chr11	75409768	75422701	-	NA	Serpinf1
ENSMUSG00000028678.13	9.36115438273214	3.17832802686521	0.439687771747652	7.22860227436422	4.87990261665465e-13	2.01686568027863e-11	chr4	117159638	117182639	-	NA	Kif2c
ENSMUSG00000020901.13	23.6754635985175	1.95634754805967	0.270745036556066	7.22579284534567	4.98186670608627e-13	2.05494632000754e-11	chr11	68432120	68497849	+	NA	Pik3r5
ENSMUSG00000020407.13	43.5070947110544	2.04768023990833	0.283433131855333	7.22456202104661	5.02719392560921e-13	2.06956115287924e-11	chr11	9118102	9136170	+	NA	Upp1
ENSMUSG00000032841.15	123.901949866811	1.17885041496985	0.163195607802624	7.22354253795605	5.06504453687235e-13	2.08104668761516e-11	chr2	101714284	101883027	-	NA	Prr5l
ENSMUSG00000073490.11	9.77544934808155	3.01726303818402	0.417994787688398	7.21842263840212	5.25940427570905e-13	2.15244465005682e-11	chr1	173723426	173741747	-	NA	Ifi207
ENSMUSG00000024737.2	10.3883600604261	3.1466209156969	0.43590275019376	7.21863056449682	5.2513703023165e-13	2.15244465005682e-11	chr19	10839726	10859362	+	NA	Slc15a3
ENSMUSG00000033880.11	65.711243081844	2.36246578776427	0.327472025386014	7.21425222499377	5.42311550437429e-13	2.21510965904257e-11	chr11	118392750	118402092	-	NA	Lgals3bp
ENSMUSG00000030745.9	40.3364149718411	2.3197402682782	0.321611955591578	7.21285458437402	5.47909179348625e-13	2.23361104633875e-11	chr7	125603428	125633570	+	NA	Il21r
ENSMUSG00000030748.9	211.075436289081	2.14069109607936	0.296870642867185	7.21085478646355	5.56017253647901e-13	2.26225463531879e-11	chr7	125552119	125579474	+	NA	Il4ra
ENSMUSG00000010142.12	46.9839209404006	1.82350435108991	0.253101836879367	7.2046270922918	5.82029137962586e-13	2.35890995391697e-11	chr11	61126754	61149372	+	NA	Tnfrsf13b
ENSMUSG00000004609.11	69.3993922687261	1.46439574701305	0.20337195462637	7.20057861322817	5.99575766966845e-13	2.42064247385668e-11	chr7	43524215	43544428	-	NA	Cd33
ENSMUSG00000029762.6	15.892538632004	2.62089335687741	0.364368317687097	7.19297817525429	6.33930790833974e-13	2.55441129647609e-11	chr6	34354118	34368463	+	NA	Akr1b8
ENSMUSG00000028868.13	104.440766644945	1.45005382497612	0.201963489165776	7.17978200399326	6.98226605019485e-13	2.8080794213024e-11	chr4	133130504	133199756	+	NA	Wasf2
ENSMUSG00000074802.11	28.8619506832431	1.81770719715191	0.253263991748468	7.17712448817905	7.11928592740582e-13	2.85768957005447e-11	chr10	89408822	89443967	-	NA	Gas2l3
ENSMUSG00000027323.10	23.4568566358058	1.98915884437039	0.277308236566093	7.17309687228242	7.33199320827772e-13	2.93743245143126e-11	chr2	119112792	119147445	+	NA	Rad51
ENSMUSG00000025001.11	63.9015673567893	1.53057215824008	0.21342160430409	7.17158960186276	7.41318922752715e-13	2.96428348595173e-11	chr19	38930914	38971051	+	NA	Hells
ENSMUSG00000044811.13	25.0872438483295	2.15465540175471	0.300610389757738	7.16760123790514	7.6323225080578e-13	3.04608321776742e-11	chr11	114996720	115001880	-	NA	Cd300c2
ENSMUSG00000047180.8	10.0974824705266	3.06151882789477	0.427470442857941	7.16194272386731	7.95416573618434e-13	3.16848510553949e-11	chr1	36264596	36274679	-	NA	Neurl3
ENSMUSG00000017756.9	29.6182678624074	1.92980046479116	0.269529001055042	7.15989914716845	8.07364356715066e-13	3.20996402889395e-11	chr13	73733093	73816754	+	NA	Slc12a7
ENSMUSG00000031662.8	19.1508013260971	2.42803010452642	0.339377109616957	7.15437204137559	8.40568114245643e-13	3.33563585829585e-11	chr8	88626562	88636128	-	NA	Snx20
ENSMUSG00000079419.4	7.19498686421837	3.34445762645848	0.467971797881853	7.14670764690578	8.8883896808219e-13	3.52050934460281e-11	chr19	11469365	11482192	+	NA	Ms4a6c
ENSMUSG00000045672.15	66.5002708788474	1.20184958134254	0.168186205762094	7.14594622012349	8.93780500019549e-13	3.53338971586178e-11	chr4	63214003	63334991	+	NA	Col27a1
ENSMUSG00000008398.15	72.6603522464314	1.65091797230555	0.231638038726151	7.12714535740524	1.02471862414379e-12	4.03577035531433e-11	chr10	93247413	93311135	-	NA	Elk3
ENSMUSG00000016918.15	109.192344235735	1.39595234765105	0.19601349808433	7.12171539865318	1.0659198628835e-12	4.18228557082224e-11	chr1	12692276	12861192	+	NA	Sulf1
ENSMUSG00000005410.6	82.982309816565	1.91784101431852	0.269420672993335	7.11838847780611	1.09196236983656e-12	4.27644364052285e-11	chr8	75109568	75128439	+	NA	Mcm5
ENSMUSG00000026480.12	30.8012301956892	2.13432594482634	0.299870822081426	7.11748455555569	1.09914531434679e-12	4.29652821662324e-11	chr1	152800193	152836991	+	NA	Ncf2
ENSMUSG00000039234.11	46.4057526070627	1.41103191327908	0.198305681826096	7.11543865150812	1.11557459770191e-12	4.35261409733954e-11	chr3	123267454	123365641	+	NA	Sec24d
ENSMUSG00000021760.5	41.0259079429178	2.00505400255415	0.28205303462595	7.10878365557453	1.17070087859267e-12	4.55919319813938e-11	chr13	113042752	113046410	-	NA	Gpx8
ENSMUSG00000031665.7	280.59675359326	1.05623651115652	0.148630853508008	7.10644180684601	1.19072829955447e-12	4.62856894583319e-11	chr8	89027234	89044162	-	NA	Sall1
ENSMUSG00000026433.13	76.7901307289915	1.82352224041233	0.257712559921356	7.07579887052767	1.4859024396804e-12	5.75583552766886e-11	chr1	131867223	131872887	+	NA	Rab29
ENSMUSG00000033306.15	125.979740827952	1.23220010301584	0.174143645887007	7.07576837925715	1.48622922820312e-12	5.75583552766886e-11	chr16	24393506	24992578	+	NA	Lpp
ENSMUSG00000019917.10	54.1904215197992	1.24606470826182	0.176157183170638	7.07359578436717	1.50969630346238e-12	5.83591105255245e-11	chr10	59141626	59221847	-	NA	Sept10
ENSMUSG00000021136.13	71.2861522930423	1.47262352705856	0.208211736673803	7.07272102228156	1.51924727704866e-12	5.86199599721745e-11	chr12	81026807	81186414	+	NA	Smoc1
ENSMUSG00000029810.15	120.048396329201	1.64356338682318	0.232575890310043	7.06678316755951	1.58566422661984e-12	6.1069974164458e-11	chr6	48833817	48841496	-	NA	Tmem176b
ENSMUSG00000040711.8	348.893539233464	1.64385685055148	0.23291189248011	7.05784849819062	1.69100273047749e-12	6.50072428354334e-11	chr11	32347819	32428173	+	NA	Sh3pxd2b
ENSMUSG00000026981.15	9.04900007527889	3.42431887367811	0.485358134735241	7.05524153941717	1.72301163404614e-12	6.61162244088199e-11	chr2	24336852	24351494	+	NA	Il1rn
ENSMUSG00000044827.10	8.36844974819796	3.02677711458321	0.429100570262498	7.05377089741831	1.74133000080231e-12	6.66967661296314e-11	chr5	64924678	64933563	-	NA	Tlr1
ENSMUSG00000060586.11	26.5526188102604	2.8836926764077	0.409035030952312	7.04998950748524	1.78931283133069e-12	6.84093221967436e-11	chr17	34305866	34316674	+	NA	H2-Eb1
ENSMUSG00000038872.10	167.383702485771	1.21534131281602	0.172471455229549	7.04662293942193	1.83312170044307e-12	6.99202881540247e-11	chr8	107942643	108961630	+	NA	Zfhx3
ENSMUSG00000031262.12	13.3232142015618	2.76560316103377	0.392884282550691	7.03923084700377	1.93303888058216e-12	7.35011674720267e-11	chrX	134308083	134362639	+	NA	Cenpi
ENSMUSG00000026072.12	19.0797380595456	2.13432090784484	0.303327177853137	7.03636556061659	1.97318849719501e-12	7.48916352846446e-11	chr1	40225079	40317257	+	NA	Il1r1
ENSMUSG00000062210.13	122.37852809374	1.52254074236974	0.216927526098596	7.01866088528445	2.24004720218268e-12	8.4575386450569e-11	chr18	49979426	50107173	+	NA	Tnfaip8
ENSMUSG00000024529.14	57.4466370510798	3.2909941051269	0.468893748635967	7.0186350632751	2.24046115304429e-12	8.4575386450569e-11	chr18	52516066	52529867	-	NA	Lox
ENSMUSG00000057762.6	48.1588937439581	2.26271829028563	0.322634097491307	7.01326458635264	2.32820558966721e-12	8.75715170804142e-11	chr13	97098207	97099237	-	NA	Gm6169
ENSMUSG00000004040.16	901.483704656325	1.26229123573847	0.180004953557745	7.01253610408856	2.34036438985861e-12	8.78708087704006e-11	chr11	100885097	100939540	-	NA	Stat3
ENSMUSG00000043157.8	10.3278616398397	2.75982597635047	0.393763627098155	7.00883927926263	2.4030329897098e-12	9.00620589853065e-11	chr14	61309752	61311936	+	NA	Arl11
ENSMUSG00000033031.13	19.0163485669265	2.15130388450498	0.306991998091442	7.00768716409406	2.4228979077269e-12	9.06441215461407e-11	chr16	48994184	49019709	+	NA	Cip2a
ENSMUSG00000024621.16	447.59725602743	1.78652647220787	0.255159972933414	7.00159375183065	2.53066996113599e-12	9.45069658879233e-11	chr18	61100597	61132149	+	NA	Csf1r
ENSMUSG00000035385.5	37.2168999001784	3.42461230084391	0.489196386855319	7.00048567990906	2.55076705388969e-12	9.50876852014174e-11	chr11	82035570	82037453	+	NA	Ccl2
ENSMUSG00000022816.11	346.466969341253	1.37220289624022	0.196180338846109	6.99459948082069	2.66017772184158e-12	9.89898517737955e-11	chr16	37776872	37836514	+	NA	Fstl1
ENSMUSG00000036875.15	45.3760057779603	1.68945139112917	0.242609725157444	6.9636589795928	3.31546620980571e-12	1.22502376052415e-10	chr10	62947025	62974185	+	NA	Dna2
ENSMUSG00000037625.7	664.777580480578	1.28257564441342	0.184254937286424	6.96087531385746	3.38164975357358e-12	1.24727409693976e-10	chr3	31149919	31164324	+	NA	Cldn11
ENSMUSG00000073421.6	21.8531135574486	2.99471488950628	0.430565039520922	6.95531363354168	3.51778540129289e-12	1.29520151579645e-10	chr17	34257688	34269419	+	NA	H2-Ab1
ENSMUSG00000025747.12	40.2739524308742	1.7237296632973	0.247910064576686	6.95304430758237	3.57486348395091e-12	1.31390369138603e-10	chr5	30058201	30073617	-	NA	Tyms
ENSMUSG00000028273.15	126.818039045345	1.0877159071013	0.156533357615921	6.94878027065758	3.68457903633297e-12	1.35185265590932e-10	chr3	142239589	142395696	-	NA	Pdlim5
ENSMUSG00000034311.3	9.53362262778352	2.83132447740291	0.407982163727926	6.93982416175197	3.92588285778344e-12	1.43786319097767e-10	chrX	100625736	100727214	+	NA	Kif4
ENSMUSG00000026177.11	14.4105820036799	2.67027711381935	0.384905654697685	6.93748476082186	3.99142363691754e-12	1.45931193214784e-10	chr1	74375194	74386062	+	NA	Slc11a1
ENSMUSG00000079110.11	77.1713780174314	1.79578397302407	0.258921184013856	6.93563942967281	4.04387825318422e-12	1.47590970172498e-10	chr2	120456018	120504913	+	NA	Capn3
ENSMUSG00000039232.12	8.90405373295719	3.16839292882866	0.456921050876686	6.93422402568129	4.0845693638438e-12	1.48816374749243e-10	chr10	12938208	12964298	-	NA	Stx11
ENSMUSG00000024791.10	7.49050643538438	3.28478681982157	0.473900326945641	6.93138753668416	4.16732685681541e-12	1.51567489663618e-10	chr19	6084982	6091777	+	NA	Cdca5
ENSMUSG00000050732.9	81.750420283166	2.00162683952064	0.289015476252097	6.92567355034888	4.33906018798931e-12	1.57266491700902e-10	chr6	72385222	72390703	-	NA	Vamp8
ENSMUSG00000021457.14	41.7711562624764	2.14788669529221	0.310869732162354	6.90928216250548	4.8711223441063e-12	1.76245296855182e-10	chr13	52583172	52648792	+	NA	Syk
ENSMUSG00000079227.10	81.2089292027646	1.87775879309406	0.272033981268195	6.90266261714856	5.1036744652797e-12	1.84022662228266e-10	chr9	124121542	124147699	+	NA	Ccr5
ENSMUSG00000039377.7	17.2464145938847	2.44016120879744	0.354028379649895	6.89255819324587	5.47978632064789e-12	1.97244012605352e-10	chr1	184727139	184732619	-	NA	Hlx
ENSMUSG00000039316.14	56.9283529159646	1.9076953572764	0.276792874615722	6.89214041338635	5.4959084045811e-12	1.97484420042963e-10	chr17	49992256	50190674	-	NA	Rftn1
ENSMUSG00000037321.17	38.3192483234288	2.14904062848194	0.311900979557166	6.89013747739148	5.57384952328553e-12	1.99941535300978e-10	chr17	34187552	34197225	+	NA	Tap1
ENSMUSG00000037960.11	70.4757904081522	1.29967489157079	0.188685343493746	6.88805429985009	5.65606236169084e-12	2.02543205770617e-10	chr13	49202949	49216037	-	NA	Card19
ENSMUSG00000026683.14	9.56807577402824	2.89817949360793	0.421566352672907	6.87478845318718	6.20819172052817e-12	2.21556166299327e-10	chr1	169497933	169531464	-	NA	Nuf2
ENSMUSG00000020185.16	11.7621027999298	2.62607242743218	0.381976482944006	6.87495839322949	6.20079543491569e-12	2.21556166299327e-10	chr10	110745438	110787384	+	NA	E2f7
ENSMUSG00000022034.10	9.6543141919613	2.80110740818033	0.407643654348098	6.87146084160159	6.35477367567873e-12	2.26400991276779e-10	chr14	65819037	65833994	-	NA	Esco2
ENSMUSG00000024663.20	45.8662060883486	1.81337528961956	0.264477915843635	6.85643367929314	7.06008337164899e-12	2.5025003991745e-10	chr19	10001668	10038380	+	NA	Rab3il1
ENSMUSG00000026385.16	3340.30243810799	1.20463653637428	0.17582288237991	6.85142070286026	7.31201274164847e-12	2.58741323969703e-10	chr1	120113279	120121078	-	NA	Dbi
ENSMUSG00000026628.13	10.3459151225097	2.80361175698732	0.409674912217318	6.84350364979171	7.72793548260691e-12	2.72997153290132e-10	chr1	191170295	191218039	-	NA	Atf3
ENSMUSG00000001240.13	151.881464625627	1.50179581618391	0.219467984891778	6.842892447044	7.76099217921081e-12	2.73702579163298e-10	chr11	101246027	101259546	+	NA	Ramp2
ENSMUSG00000028871.7	129.24795401648	-1.29984166594862	0.190052392232907	-6.83938597497724	7.95333336378249e-12	2.80013570095594e-10	chr4	124986429	125009099	+	NA	Rspo1
ENSMUSG00000073002.9	28.2386911244769	1.60968816557329	0.235486436595422	6.83558759835844	8.16695753408504e-12	2.87051399849278e-10	chr6	72368793	72380468	-	NA	Vamp5
ENSMUSG00000027533.10	393.32588144827	1.00758834839496	0.147457277717461	6.83308659966969	8.31067509802477e-12	2.91612664974819e-10	chr3	10012547	10016607	+	NA	Fabp5
ENSMUSG00000056220.14	30.5179618947452	2.05346619897735	0.300572618296857	6.83184719424197	8.382811767656e-12	2.93403795937685e-10	chr1	149829617	149961290	-	NA	Pla2g4a
ENSMUSG00000029070.9	164.414372817543	1.97017489579337	0.288386026038356	6.83172802392076	8.3897800397234e-12	2.93403795937685e-10	chr4	155839679	155844088	+	NA	Mxra8
ENSMUSG00000079685.10	6.9977808541887	3.0622216606268	0.4483332889364	6.83023486364673	8.47757245632467e-12	2.95979086442601e-10	chr10	7440361	7473638	-	NA	Ulbp1
ENSMUSG00000029730.16	91.7741427938944	1.79203769310162	0.262947213871738	6.8151993957835	9.41331107865632e-12	3.27555032592246e-10	chr5	138164582	138172422	-	NA	Mcm7
ENSMUSG00000050777.7	27.0097346347488	2.14149069022347	0.31434267265266	6.8125993590115	9.58508097769217e-12	3.32978070575542e-10	chr1	120067376	120074074	-	NA	Tmem37
ENSMUSG00000027832.5	17.5885702822745	2.98971697766944	0.439263601175167	6.80620240254602	1.00208704493944e-11	3.46964343887723e-10	chr3	66219909	66225805	+	NA	Ptx3
ENSMUSG00000004709.14	10.135323099122	3.16921741197706	0.466013280591809	6.8007019198087	1.04110636712545e-11	3.59878635631314e-10	chr1	171559192	171609746	+	NA	Cd244a
ENSMUSG00000031503.13	119.342569716731	1.64673585978517	0.242157551028896	6.80026640832962	1.04425862338823e-11	3.6037261701185e-10	chr8	11312804	11449287	+	NA	Col4a2
ENSMUSG00000028108.15	38.1201664455973	2.05710208622837	0.302874505674619	6.791928827573	1.10644134849462e-11	3.81202766409688e-10	chr3	95734146	95739569	-	NA	Ecm1
ENSMUSG00000056529.7	32.0173079800096	2.15904246216923	0.31805868333575	6.78818902073518	1.1354982149166e-11	3.90570298824849e-10	chr4	132564066	132582683	+	NA	Ptafr
ENSMUSG00000007039.12	227.563486445001	1.26155170909877	0.18590072686985	6.78615802283546	1.151590137721e-11	3.95454918721828e-10	chr17	35059034	35062095	+	NA	Ddah2
ENSMUSG00000032491.14	30.5505764588116	2.02913626060085	0.299045975450624	6.78536555304983	1.15792940650677e-11	3.96979961938953e-10	chr9	110621134	110624452	-	NA	Nradd
ENSMUSG00000030339.7	333.860246255894	1.80623945793723	0.266295526220887	6.78283816318789	1.1783761727077e-11	4.02669622546341e-10	chr6	125306570	125313885	-	NA	Ltbr
ENSMUSG00000027971.16	17.5357307089971	2.33293595525371	0.344027862662928	6.78124131340918	1.19147667726361e-11	4.06482084039379e-10	chr3	125404075	125728899	+	NA	Ndst4
ENSMUSG00000020092.9	63.095275124996	1.21678898999895	0.179752166166238	6.7692591191009	1.2944353088871e-11	4.40171148207412e-10	chr10	61319655	61383530	-	NA	Pald1
ENSMUSG00000037552.17	31.6594401675405	1.65796648354188	0.245317307130145	6.75845704870018	1.39468980927199e-11	4.73492662034173e-10	chr7	28359603	28372599	-	NA	Plekhg2
ENSMUSG00000052085.7	25.454678312548	2.06945274443761	0.306475144333741	6.75243256328821	1.45386645548409e-11	4.9278296893904e-10	chr19	24999533	25202432	+	NA	Dock8
ENSMUSG00000047407.17	13.224064936273	2.30463558890399	0.341881888866443	6.74102859483236	1.57269249178478e-11	5.32196085448142e-10	chr17	70844204	70853546	-	NA	Tgif1
ENSMUSG00000021614.16	130.519843004075	1.05990386468451	0.15740991092553	6.73339981232783	1.65743801857557e-11	5.59064536814048e-10	chr13	89655311	89742509	-	NA	Vcan
ENSMUSG00000006360.11	55.8653112745981	1.49579257055892	0.22220598733617	6.73155835488795	1.67855486166047e-11	5.65275649306046e-10	chr12	113146315	113153879	+	NA	Crip1
ENSMUSG00000038235.4	187.741968449472	1.74359819708492	0.259802870764536	6.71123529910945	1.92983619077071e-11	6.47811625322436e-10	chr1	171437534	171464603	+	NA	F11r
ENSMUSG00000021822.3	34.4682414433642	1.87603197483083	0.279564763051204	6.71054518586529	1.93898589951813e-11	6.49839937766389e-10	chr14	20836659	20843385	+	NA	Plau
ENSMUSG00000027654.2	20.6264811517379	2.17164260591256	0.32397476723081	6.70312266746814	2.04012060818009e-11	6.81550196148088e-10	chr2	158768092	158786637	+	NA	Fam83d
ENSMUSG00000037466.13	16.2120504348184	1.9990623340944	0.298310491825008	6.70128067526057	2.06600771309194e-11	6.89097596553296e-10	chr12	113156420	113166048	+	NA	Tedc1
ENSMUSG00000049103.14	37.72276820433	3.18201181755109	0.474999739888596	6.698975915855	2.09885177904737e-11	6.97826506442254e-10	chr9	124101949	124113557	+	NA	Ccr2
ENSMUSG00000089647.2	12.869263787855	2.63196985124493	0.393198929998922	6.69373604666764	2.17543665721781e-11	7.22141377974541e-10	chr15	6604340	6654303	-	NA	Gm2245
ENSMUSG00000032035.16	122.348979084024	1.31537286236848	0.196625939534186	6.68972194352709	2.23595034209383e-11	7.41052765518356e-10	chr9	32636220	32757820	+	NA	Ets1
ENSMUSG00000041482.17	17.8077625278782	2.60414047855309	0.389592526280804	6.68426702999976	2.32083284694326e-11	7.67967995698172e-10	chr18	63010212	63387183	-	NA	Piezo2
ENSMUSG00000022906.15	21.9460914202487	1.96012511673312	0.293289724927362	6.68323827989059	2.33719083589653e-11	7.72159114551409e-10	chr16	35938469	35972605	+	NA	Parp9
ENSMUSG00000037742.14	139.836105745326	1.00201417847417	0.150114055939735	6.67501901938109	2.47200104189919e-11	8.15409428852331e-10	chr9	78478448	78489151	-	NA	Eef1a1
ENSMUSG00000061132.13	89.6041702606627	1.48662108126773	0.222767924539068	6.67340724363132	2.49931575347752e-11	8.23121107912999e-10	chr19	40928926	40994535	-	NA	Blnk
ENSMUSG00000069793.12	9.57488763219032	2.76137988802251	0.413842150106001	6.67254383661794	2.51406918453609e-11	8.26678126669863e-10	chr11	82978389	82991830	-	NA	Slfn9
ENSMUSG00000006369.14	65.8272586463698	2.10172259111805	0.315564646107233	6.66019662546055	2.73461485348028e-11	8.97786505978541e-10	chr15	85205948	85286535	+	NA	Fbln1
ENSMUSG00000058099.16	27.9484158781179	2.15379329548329	0.323569089847461	6.6563629316343	2.80686650503088e-11	9.20062683694527e-10	chr15	82992972	83033306	-	NA	Nfam1
ENSMUSG00000026029.14	13.6246242295409	2.45506660700845	0.369844429446557	6.63810621855861	3.1773887367778e-11	1.03543407220718e-09	chr1	58795373	58847503	+	NA	Casp8
ENSMUSG00000074825.4	50.9968793711424	1.73818702991533	0.261852123960058	6.63804823741078	3.17863852320091e-11	1.03543407220718e-09	chr2	127138771	127143442	-	NA	Itpripl1
ENSMUSG00000027712.13	292.884880804509	1.20008535079253	0.18080580328031	6.63742716782154	3.19205592242995e-11	1.03818764394677e-09	chr3	36448922	36475894	-	NA	Anxa5
ENSMUSG00000030798.15	23.7091653977381	2.51841225254045	0.379912504774778	6.62892697894592	3.3813578910659e-11	1.0963463190056e-09	chr7	45233631	45239115	-	NA	Cd37
ENSMUSG00000031375.17	473.96001358334	2.69110238645713	0.405960289344023	6.62897937826775	3.38015794942491e-11	1.0963463190056e-09	chrX	73483601	73495933	+	NA	Bgn
ENSMUSG00000052142.15	14.9062218225091	2.51403574300929	0.379298510121864	6.62811921460371	3.39990848296229e-11	1.1006545836562e-09	chr17	32390658	32403583	-	NA	Rasal3
ENSMUSG00000074813.13	11.3750688602607	2.43996447385699	0.368471155589331	6.62186018320628	3.54706486854586e-11	1.14474949993672e-09	chr2	128178318	128502765	-	NA	Morrbid
ENSMUSG00000035021.13	54.5948422313246	1.70952145251614	0.258302322750069	6.61829686359524	3.63360775467289e-11	1.17087271145569e-09	chr12	54892988	55014348	-	NA	Baz1a
ENSMUSG00000034485.10	187.315120062369	2.00660425350714	0.303231276640025	6.61740528794213	3.6555827377265e-11	1.17614156606268e-09	chr9	60794541	60880370	+	NA	Uaca
ENSMUSG00000024986.12	25.6057619615591	1.70130196462178	0.257361474418297	6.61055415721083	3.82884009272611e-11	1.22999282425777e-09	chr19	37434809	37440731	+	NA	Hhex
ENSMUSG00000026196.7	17.7436367517143	2.14894431133429	0.325130606478603	6.60948021660862	3.8567175340104e-11	1.23704806424478e-09	chr1	71027497	71103146	-	NA	Bard1
ENSMUSG00000079553.11	15.51103768767	2.20925746172366	0.334791682678857	6.59890187249022	4.14214347229791e-11	1.32453587822884e-09	chr17	33875658	33890661	-	NA	Kifc1
ENSMUSG00000087593.1	10.9656684223843	3.15595179130987	0.478977458158678	6.58893594584227	4.42989838129402e-11	1.41223269585369e-09	chr7	19816552	19818625	+	NA	Gm16174
ENSMUSG00000025366.8	129.151796331819	1.28908896334627	0.195742391930802	6.58564019081765	4.52929490029444e-11	1.44172213470103e-09	chr10	128509964	128525871	-	NA	Esyt1
ENSMUSG00000030536.10	396.69802207989	1.24193201991784	0.188727718798979	6.58054909910012	4.68714015155362e-11	1.48969851047782e-09	chr7	80711582	80825974	-	NA	Iqgap1
ENSMUSG00000040253.15	96.6396686824876	1.23248213831765	0.187330531124984	6.57918456172721	4.7303530769219e-11	1.50115134897826e-09	chr3	142530341	142550149	+	NA	Gbp7
ENSMUSG00000016239.11	20.3485837959504	2.11994922839502	0.322391374624928	6.57570082593364	4.8424534959842e-11	1.53439742365936e-09	chrX	36328352	36362341	+	NA	Lonrf3
ENSMUSG00000046186.8	13.6339258665763	2.16739543812878	0.329683713404251	6.57416593543146	4.89266445850922e-11	1.54796205477766e-09	chr9	78615545	78716253	+	NA	Cd109
ENSMUSG00000024965.9	13.855692184743	2.39653667815659	0.36471532340075	6.57097885498842	4.99855583947605e-11	1.57907550258252e-09	chr19	6998957	7019469	-	NA	Fermt3
ENSMUSG00000020256.14	24.4946959152157	2.08673935630544	0.317838102787265	6.56541597123155	5.18878073121697e-11	1.63669640168839e-09	chr10	83487449	83534140	-	NA	Aldh1l2
ENSMUSG00000020186.7	108.441463856719	2.25147037075488	0.343288950883212	6.55852850772593	5.43413197728788e-11	1.71150605483466e-09	chr10	110919788	110939622	+	NA	Csrp2
ENSMUSG00000053318.7	18.1068564872347	2.61884813977386	0.399899352120527	6.54876814850291	5.80136154619412e-11	1.82167979002339e-09	chr1	172581757	172590568	-	NA	Slamf8
ENSMUSG00000004562.16	145.772135302677	1.27562867730531	0.194784226781099	6.54893211008752	5.79499662029215e-11	1.82167979002339e-09	chr14	51984718	52006251	+	NA	Arhgef40
ENSMUSG00000004043.14	25.0626519113432	1.78218721475157	0.272563156176117	6.53862113924162	6.20885842997073e-11	1.94671448794569e-09	chr11	100859350	100885169	+	NA	Stat5a
ENSMUSG00000043895.6	53.7621904151809	1.8690480442256	0.286132499448638	6.53210679607227	6.48508839200491e-11	2.02421870958207e-09	chr9	20962360	20976781	-	NA	S1pr2
ENSMUSG00000052336.7	1962.1681595299	1.74962779983378	0.268266057012533	6.5219872365442	6.93819205565095e-11	2.15920253660459e-09	chr9	119901615	120069879	-	NA	Cx3cr1
ENSMUSG00000056481.7	41.7937955775141	2.21497463379084	0.339660764170141	6.52113775696895	6.977606243061e-11	2.16824189243885e-09	chr19	5068077	5070682	+	NA	Cd248
ENSMUSG00000104291.1	11.6141703006662	2.5859968577746	0.396672623997826	6.51922190069959	7.06730376833078e-11	2.19285643482347e-09	chr1	138161819	138167683	-	NA	A130071D04Rik
ENSMUSG00000031465.6	23.8167732692968	1.81019283168269	0.277858216092727	6.51480764951931	7.27828638884097e-11	2.25497486296046e-09	chr8	18690262	18741562	-	NA	Angpt2
ENSMUSG00000034457.10	4.73156134299932	3.14216286133006	0.482344887070934	6.5143488519408	7.30056515355199e-11	2.25853134698569e-09	chrX	97333839	97377216	-	NA	Eda2r
ENSMUSG00000062960.10	299.436061745878	1.33821443231897	0.205454111971939	6.51344682019187	7.34456156199862e-11	2.26878605533349e-09	chr5	75932826	75978458	-	NA	Kdr
ENSMUSG00000029380.11	10.3339587384058	2.86162653805656	0.439620343972546	6.50931326834881	7.54951363259658e-11	2.32865750145269e-09	chr5	90891240	90893115	+	NA	Cxcl1
ENSMUSG00000071714.7	7.49624872545068	2.99387060960981	0.460481138548734	6.50161398368103	7.94627922490445e-11	2.44743059544075e-09	chr15	78282506	78305721	-	NA	Csf2rb2
ENSMUSG00000053158.10	33.2304188580637	2.37774821667284	0.365967599353984	6.49715499642619	8.18531210811518e-11	2.51734458995607e-09	chr7	80377755	80387946	-	NA	Fes
ENSMUSG00000020773.11	30.3521506280812	1.83345101780586	0.28301445524166	6.47829460244466	9.27650987066422e-11	2.84040484517132e-09	chr11	116105751	116127210	-	NA	Trim47
ENSMUSG00000042116.3	116.805332476671	1.27120468079008	0.196373867806569	6.47339024784209	9.58280271242482e-11	2.92562267335679e-09	chr4	155768148	155774698	-	NA	Vwa1
ENSMUSG00000021556.12	23.8202390540081	2.02621745140458	0.31312114702412	6.47103356212636	9.7334809875495e-11	2.96729282642307e-09	chr13	59634625	59675811	-	NA	Golm1
